budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
65000000,Chester Films Inc.,USA,Jon Turteltaub,Comedy,69691949,The Kid,PG,07/07/2000,104,6.1,Bruce Willis,36128,Audrey Wells,2000
63600000,Morgan Creek Productions,USA,Stephen Kay,Action,14967182,Get Carter,R,06/10/2000,102,5.1,Sylvester Stallone,28856,Ted Lewis,2000
24000000,Metro-Goldwyn-Mayer (MGM),USA,Bonnie Hunt,Comedy,32662299,Return to Me,PG,07/04/2000,115,6.9,David Duchovny,17212,Bonnie Hunt,2000
1500000,FX Sound,Argentina,Fabián Bielinsky,Crime,1221261,Nine Queens,R,31/08/2000,114,7.9,Ricardo Darín,41658,Fabián Bielinsky,2000
15000000,Artisan Entertainment,USA,Joe Berlinger,Adventure,26437094,Book of Shadows: Blair Witch 2,R,27/10/2000,90,4,Jeffrey Donovan,31565,Daniel Myrick,2000
24000000,Miramax,USA,James Gray,Crime,882710,The Yards,R,27/10/2000,115,6.4,Mark Wahlberg,17187,James Gray,2000
65000000,Castle Rock Entertainment,USA,Taylor Hackford,Action,32598931,Proof of Life,R,08/12/2000,135,6.2,Meg Ryan,50964,Tony Gilroy,2000
24000000,Bel Air Entertainment,USA,Brian Robbins,Comedy,12372410,Ready to Rumble,PG-13,07/04/2000,107,5.3,David Arquette,12277,Steven Brill,2000
30000000,Lewitt / Eberts Prouctions,USA,Joe Charbanic,Crime,28927720,The Watcher,R,08/09/2000,97,5.3,James Spader,23123,Darcy Meyers,2000
35000000,Universal Pictures,USA,Rob Cohen,Action,35007180,The Skulls,PG-13,31/03/2000,106,5.6,Joshua Jackson,28112,John Pogue,2000
6000000,Brant-Allen,USA,Ed Harris,Biography,8596914,Pollock,R,23/03/2001,122,7,Ed Harris,24202,Steven Naifeh,2000
10000000,Portman Entertainment Group,UK,Nigel Cole,Comedy,12115757,Saving Grace,R,01/09/2000,93,6.9,Brenda Blethyn,16011,Mark Crowdy,2000
14000000,Destination Films,USA,Sally Field,Drama,3060963,Beautiful,PG-13,29/09/2000,112,5.4,Minnie Driver,3378,Jon Bernstein,2000
0,Gaumont,France,Mathieu Kassovitz,Crime,632548,The Crimson Rivers,R,04/05/2001,106,6.9,Jean Reno,51306,Jean-Christophe Grangé,2000
8500000,Artisan Entertainment,USA,Christopher McQuarrie,Action,6055661,The Way of the Gun,R,08/09/2000,119,6.7,Ryan Phillippe,28466,Christopher McQuarrie,2000
6000000,Alcon Entertainment,USA,Jay Russell,Comedy,34099640,My Dog Skip,PG,03/03/2000,95,7,Frankie Muniz,17398,Willie Morris,2000
23000000,Artisan Entertainment,USA,Robert Altman,Comedy,13113041,Dr. T & the Women,R,13/10/2000,122,4.6,Richard Gere,16174,Anne Rapp,2000
19000000,Gullane Pictures,UK,Britt Allcroft,Adventure,15911333,Thomas and the Magic Railroad,G,26/07/2000,85,3.7,Alec Baldwin,3106,Britt Allcroft,2000
60000000,Columbia Pictures Corporation,Germany,Diane Keaton,Comedy,36050230,Hanging Up,PG-13,18/02/2000,94,4.8,Diane Keaton,10627,Delia Ephron,2000
35000000,Punch 21 Productions,USA,Robert Iscove,Comedy,20627372,Boys and Girls,PG-13,16/06/2000,94,5.4,Freddie Prinze Jr.,14393,Andrew Lowery,2000
25000000,Davis-Panzer Productions,USA,Douglas Aarniokoski,Action,12801190,Highlander: Endgame,R,01/09/2000,87,4.6,Christopher Lambert,17216,Gregory Widen,2000
0,1+2 Seisaku Iinkai,Taiwan,Edward Yang,Drama,1136776,Yi Yi,NOT RATED,16/12/2000,173,8.1,Nien-Jen Wu,14617,Edward Yang,2000
35000000,Open City Films,USA,Kris Isacsson,Comedy,20035310,Down to You,PG-13,21/01/2000,91,4.9,Freddie Prinze Jr.,12868,Kris Isacsson,2000
16000000,StudioCanal,USA,Kathryn Bigelow,Crime,102622,The Weight of Water,R,31/07/2002,100,5.9,Catherine McCormack,7993,Anita Shreve,2000
24000000,Broadway Pictures,USA,Reginald Hudlin,Comedy,13592872,The Ladies Man,R,13/10/2000,84,5.1,Tim Meadows,11223,Tim Meadows,2000
25000000,DreamWorks,USA,Woody Allen,Comedy,17071230,Small Time Crooks,PG,19/05/2000,94,6.7,Woody Allen,32888,Woody Allen,2000
20000000,Cinerenta Medienbeteiligungs KG,USA,Rod Lurie,Drama,17872723,The Contender,R,13/10/2000,126,7,Joan Allen,21189,Rod Lurie,2000
60000000,Morgan Creek Productions,USA,Christian Duguay,Action,30208599,The Art of War,R,25/08/2000,117,5.7,Wesley Snipes,26180,Wayne Beach,2000
10000000,New Line Cinema,USA,Spike Lee,Comedy,2185266,Bamboozled,R,20/10/2000,135,6.5,Damon Wayans,9042,Spike Lee,2000
0,Canal+,UK,Sally Potter,Drama,739583,The Man Who Cried,R,28/03/2003,100,6.2,Christina Ricci,13051,Sally Potter,2000
13000000,MFF Feature Film Productions,USA,Chris Koch,Adventure,60020107,Snow Day,PG,11/02/2000,89,5,Chevy Chase,9929,Will McRobb,2000
0,Working Dog,Australia,Rob Sitch,Comedy,2252970,The Dish,PG-13,04/05/2001,101,7.2,Sam Neill,13427,Santo Cilauro,2000
0,FilmFour,UK,Paul McGuigan,Crime,30915,Gangster No. 1,R,09/06/2000,103,6.8,Malcolm McDowell,11520,Johnny Ferguson,2000
30000000,Paramount Pictures,Germany,Stig Bergqvist,Animation,76507756,Rugrats in Paris: The Movie,G,17/11/2000,78,6.1,Christine Cavanaugh,8974,J. David Stem,2000
14000000,Phoenix Pictures,USA,John Ottman,Horror,21468807,Leyenda urbana 2,R,22/09/2000,97,4.1,Jennifer Morrison,13751,Silvio Horta,2000
35000000,Miramax,USA,Don Roos,Drama,36779296,Bounce,PG-13,17/11/2000,106,5.7,Ben Affleck,18326,Don Roos,2000
24000000,NPV Entertainment,USA,Davis Guggenheim,Drama,5108820,Gossip,R,21/04/2000,90,5.9,James Marsden,13017,Gregory Poirier,2000
65000000,Paramount Pictures,USA,Chuck Russell,Crime,29374178,Bless the Child,R,11/08/2000,107,5.1,Kim Basinger,12659,Cathy Cash Spellman,2000
2000000,double A Films,USA,Michael Almereyda,Drama,1568749,Hamlet,R,23/06/2000,112,6,Ethan Hawke,8354,William Shakespeare,2000
0,13 Productions,Hungary,Béla Tarr,Drama,25461,Werckmeister Harmonies,Not specified,01/02/2001,145,8.3,Lars Rudolph,9773,László Krasznahorkai,2000
0,Arte France Cinéma,France,Michael Haneke,Drama,95242,Code Unknown,NOT RATED,15/11/2000,118,7.2,Juliette Binoche,9286,Michael Haneke,2000
1000000,Green/Renzi,USA,Karyn Kusama,Drama,1523941,Girlfight,R,06/10/2000,110,6.8,Michelle Rodriguez,8530,Karyn Kusama,2000
10000000,Hollywood Pictures,USA,Eric Blakeney,Comedy,1631839,Gun Shy,R,04/02/2000,101,5.7,Liam Neeson,6181,Eric Blakeney,2000
50000000,Avery Pix,USA,Janusz Kaminski,Drama,16779636,Lost Souls,R,13/10/2000,97,4.8,Winona Ryder,9712,Pierce Gardner,2000
10000000,Artic Productions LLC,France,John Waters,Comedy,1284646,Cecil B. DeMented,R,01/09/2000,87,6.2,Melanie Griffith,11917,John Waters,2000
0,Memfis Film,Sweden,Lukas Moodysson,Comedy,1069156,Together,R,21/09/2001,106,7.5,Lisa Lindgren,18441,Lukas Moodysson,2000
1800000,ErgoArts,USA,Maggie Greenwald,Drama,3050934,Songcatcher,PG-13,27/07/2001,109,7.2,Janet McTeer,2939,Maggie Greenwald,2000
8000000,Fox Searchlight Pictures,USA,Fina Torres,Comedy,5018450,Woman on Top,R,22/09/2000,92,5.3,Penélope Cruz,9009,Vera Blasi,2000
0,Moonstone Entertainment,USA,Michael Radford,Drama,30181,Dancing at the Blue Iguana,R,11/10/2001,123,5.8,Charlotte Ayanna,3317,Michael Radford,2000
10000000,Recorded Picture Company (RPC),USA,Takeshi Kitano,Crime,447750,Brother,R,28/09/2001,114,7.2,Takeshi Kitano,19600,Takeshi Kitano,2000
63000000,Paramount Pictures,France,Nora Ephron,Comedy,10014234,Lucky Numbers,R,27/10/2000,105,5,John Travolta,8957,Adam Resnick,2000
15000000,Hollywood Pictures,USA,Bruce Paltrow,Comedy,4734235,Duets,R,15/09/2000,112,6,Huey Lewis,8505,John Byrum,2000
3600000,Animal Productions LLC,USA,Steve Buscemi,Crime,43805,Animal Factory,R,01/08/2000,94,6.6,Willem Dafoe,11086,Edward Bunker,2000
1500000,New Oz Productions,Australia,Robert Lee King,Comedy,265107,Psycho Beach Party,UNRATED,2001-09,95,6.3,Lauren Ambrose,4825,Charles Busch,2000
42000,Free Country U.S.A.,USA,David Gordon Green,Drama,241816,George Washington,NOT RATED,28/09/2001,89,7.4,Candace Evanofski,6692,David Gordon Green,2000
0,Filmtown Entertainment,France,David Mamet,Comedy,6920692,State and Main,R,12/01/2001,105,6.8,Philip Seymour Hoffman,18881,David Mamet,2000
0,Tartan Films,USA,Chuck Parello,Biography,5708,Ed Gein,NOT RATED,20/07/2001,89,5.6,Steve Railsback,4568,Stephen Johnston,2000
0,Coproduction Office,Sweden,Roy Andersson,Comedy,2303,Songs from the Second Floor,NOT RATED,06/10/2000,98,7.7,Lars Nordh,14022,Roy Andersson,2000
150000,Miramax,USA,Gary Winick,Comedy,2882062,Tadpole,PG-13,23/08/2002,78,6.2,Sigourney Weaver,5310,Heather McGowan,2000
12500000,Morgan Creek Productions,USA,Mary Lambert,Drama,5217498,The In Crowd,PG-13,19/07/2000,105,4.6,Lori Heuring,3803,Mark Gibson,2000
1000000,Banner Entertainment,USA,Greg Berlanti,Comedy,1744858,The Broken Hearts Club: A Romantic Comedy,R,20/10/2000,94,7,Timothy Olyphant,6337,Greg Berlanti,2000
6000000,Code Entertainment,USA,Nick Gomez,Crime,15427192,Drowning Mona,PG-13,03/03/2000,96,5.6,Danny DeVito,12165,Peter Steinfeld,2000
13000000,Pathé Pictures International,UK,Kenneth Branagh,Romance,284291,Love's Labour's Lost,PG,31/03/2000,93,6.1,Alessandro Nivola,3984,William Shakespeare,2000
24000000,Gramercy Pictures (I),Germany,Neil LaBute,Comedy,25167270,Nurse Betty,R,08/09/2000,110,6.2,Renée Zellweger,30785,John C. Richards,2000
8000000,Icon Entertainment International,Germany,Wim Wenders,Drama,52526,The Million Dollar Hotel,R,10/02/2000,122,5.9,Jeremy Davies,19103,Bono,2000
0,Raajkamal Films International,India,Kamal Haasan,Crime,274675,Hey Ram,Not specified,18/02/2000,186,8,Kamal Haasan,8729,Kamal Haasan,2000
30000000,Disney Television Animation,USA,Jun Falkenstein,Animation,45554533,The Tigger Movie,G,11/02/2000,77,6.3,Jim Cummings,14258,A.A. Milne,2000
8500000,Polygram Filmed Entertainment,USA,Keith Gordon,Drama,327418,Waking the Dead,R,24/03/2000,105,6.7,Billy Crudup,6173,Scott Spencer,2000
0,British Broadcasting Corporation (BBC),UK,Dominic Anciano,Comedy,1143,"Love, Honor and Obey",R,09/02/2001,103,6.5,Sadie Frost,4542,Dominic Anciano,2000
0,Film Kraft,India,Rakesh Roshan,Action,356000,Kaho Naa... Pyaar Hai,B,14/01/2000,172,6.9,Hrithik Roshan,10926,Rakesh Roshan,2000
0,Evolution Entertainment,USA,John Luessenhop,Drama,449482,Lockdown,R,04/02/2001,105,6.3,Richard T. Jones,2134,Preston A. Whitmore II,2000
10000000,Three Rivers Production,UK,Terence Davies,Romance,3041803,The House of Mirth,PG,07/03/2001,135,7.1,Gillian Anderson,6606,Edith Wharton,2000
120000,Chango Productions,USA,Bryan Johnson,Crime,14904,Vulgar,R,26/04/2002,87,5.3,Brian O'Halloran,3665,Bryan Johnson,2000
10000000,Universal Pictures,USA,Scott Alexander,Comedy,7027345,Screwed,PG-13,12/05/2000,81,5.7,Norm MacDonald,7286,Scott Alexander,2000
16000000,4 Kids Entertainment,Japan,Kunihiko Yuyama,Animation,17052128,Pokémon 3: The Movie,G,06/04/2001,93,5.7,Rica Matsumoto,10090,Norman J. Grossfeld,2000
0,Daly-Harris Productions,USA,Del Shores,Comedy,1111273,Sordid Lives,R,11/05/2001,111,6.8,Delta Burke,2477,Del Shores,2000
50000000,Columbia Pictures Corporation,USA,Hugh Hudson,Adventure,6543194,I Dreamed of Africa,PG-13,05/05/2000,114,5.6,Kim Basinger,3933,Kuki Gallmann,2000
3000000,Miramax,USA,Lisa Krueger,Comedy,40361,Committed,R,14/07/2000,98,5.2,Heather Graham,3330,Lisa Krueger,2000
51000000,Castle Rock Entertainment,Canada,Antoine Fuqua,Action,15325127,Bait,R,15/09/2000,119,5.7,Jamie Foxx,9493,Andrew Scheinman,2000
15000000,Fox 2000 Pictures,USA,Mark Piznarski,Drama,10494147,Here on Earth,PG-13,24/03/2000,96,5.1,Chris Klein,7660,Michael Seitzman,2000
0,Arenafilm,Australia,Samantha Lang,Crime,45826,The Monkey's Mask,R,10/05/2001,93,5.1,Susie Porter,1346,Anne Kennedy,2000
4000000,Screen Gems,USA,Mike Figgis,Drama,945041,Timecode,R,28/04/2000,97,6.2,Jeanne Tripplehorn,6042,Mike Figgis,2000
0,Rosa Filmes,Portugal,João Pedro Rodrigues,Drama,125651,O Fantasma,UNRATED,20/10/2000,87,5.7,Ricardo Meneses,2379,João Pedro Rodrigues,2000
250000,Artisan Entertainment,USA,Miguel Arteta,Comedy,1050600,Chuck & Buck,R,04/08/2000,96,6.6,Mike White,4800,Mike White,2000
1000000,Myung Film Company Ltd.,South Korea,Ki-duk Kim,Drama,21075,The Isle,UNRATED,22/04/2000,90,7.1,Jung Suh,10866,Ki-duk Kim,2000
0,Asian Union Film & Entertainment,China,Wen Jiang,Comedy,18223,Devils on the Doorstep,Not specified,14/03/2001,139,8.3,Wen Jiang,5388,Wen Jiang,2000
25000000,Lakeshore Entertainment,USA,John Schlesinger,Comedy,14990582,The Next Best Thing,PG-13,03/03/2000,108,4.7,Madonna,9717,Tom Ropelewski,2000
0,Alliance Atlantis Communications,UK,Michael Winterbottom,Drama,669258,The Claim,R,02/02/2001,120,6.5,Wes Bentley,5448,Thomas Hardy,2000
0,Behaviour Worldwide,USA,Valerie Breiman,Comedy,546287,Love & Sex,R,14/07/2000,82,6.3,Famke Janssen,4781,Valerie Breiman,2000
36000000,Légende Films,France,Roland Joffé,Biography,49464,Vatel,PG-13,17/11/2001,103,6.6,Gérard Depardieu,6605,Jeanne Labrune,2000
1000000,Brillstein-Grey Entertainment,USA,Craig Mazin,Action,12996,The Specials,R,18/09/2000,82,6,Rob Lowe,2010,James Gunn,2000
0,Athanor,Czech Republic,Jan Svankmajer,Animation,116710,Greedy Guts,Not specified,25/01/2001,132,7.4,Veronika Zilková,5091,Karel Jaromír Erben,2000
0,Independent Film Channel (IFC),USA,Brad Anderson,Comedy,688510,Happy Accidents,R,12/09/2001,110,7.3,Marisa Tomei,8717,Brad Anderson,2000
60000000,Brillstein-Grey Entertainment,USA,Mike Nichols,Comedy,6291602,What Planet Are You From?,R,03/03/2000,105,5.6,Garry Shandling,8346,Garry Shandling,2000
0,BMG Funhouse,Japan,Yoshiaki Kawajiri,Animation,25521,Vampire Hunter D: Bloodlust,R,28/09/2001,103,7.7,Andrew Philpot,24614,Hideyuki Kikuchi,2000
0,Fidélité Productions,France,François Ozon,Comedy,86132,Water Drops on Burning Rocks,NOT RATED,15/03/2000,82,6.9,Bernard Giraudeau,5166,Rainer Werner Fassbinder,2000
0,Better Than,Australia,Jonathan Teplitzky,Drama,94940,Better Than Sex,R,10/05/2002,95,6.4,David Wenham,2002,Jonathan Teplitzky,2000
0,Fidélité Productions,France,François Ozon,Drama,1450106,Under the Sand,UNRATED,04/05/2001,92,7.2,Charlotte Rampling,7119,François Ozon,2000
0,Arte France Cinéma,France,Sébastien Lifshitz,Drama,8867,Come Undone,R,07/06/2000,98,6.7,Jérémie Elkaïm,4360,Sébastien Lifshitz,2000
0,Boneyard Entertainment,UK,Joel Hershman,Comedy,1439287,Greenfingers,R,14/09/2001,91,6.9,Clive Owen,4800,Joel Hershman,2000
0,Istituto Luce,Italy,Silvio Soldini,Comedy,5311177,Bread and Tulips,PG-13,02/11/2001,114,7.4,Licia Maglietta,8210,Silvio Soldini,2000
1000000,Artisan Entertainment,USA,Henry Bromell,Comedy,779137,Panic,R,19/10/2001,88,6.8,William H. Macy,7413,Henry Bromell,2000
0,British Broadcasting Corporation (BBC),Ireland,Gerard Stembridge,Comedy,151559,About Adam,R,21/03/2001,97,6,Stuart Townsend,5918,Gerard Stembridge,2000
0,Arts Council of England,UK,Bill Eagles,Comedy,55381,Beautiful Creatures,R,19/01/2001,86,5.9,Rachel Weisz,3150,Simon Donald,2000
0,ARP Sélection,France,Gérard Krawczyk,Action,729844,Taxi 2 - Alta tensión,NOT RATED,06/10/2000,88,6.4,Samy Naceri,43387,Luc Besson,2000
4500000,Keystone Family Pictures,Canada,Robert Vince,Comedy,1246237,MVP: Most Valuable Primate,PG,20/10/2000,93,3.8,Bernie,1908,Anne Vince,2000
0,Danmarks Radio (DR),Denmark,Lone Scherfig,Comedy,4447186,Italiano para principiantes,R,10/05/2002,112,7.1,Anders W. Berthelsen,11759,Maeve Binchy,2000
0,Solar Films,Finland,Aku Louhimies,Drama,16239,Restless,Not specified,28/01/2000,111,5.6,Mikko Nousiainen,3367,Aleksi Bardy,2000
0,Pandora Cinema,UK,Ben Elton,Comedy,8351,Maybe Baby,R,24/08/2001,104,5.7,Hugh Laurie,5148,Ben Elton,2000
1000000,"Culture Company, The",India,Khalid Mohamed,Action,623791,Fiza,Not specified,08/09/2000,170,6.1,Jaya Bhaduri,3131,Khalid Mohamed,2000
28000000,Gramercy Pictures (I),Germany,Marek Kanievska,Drama,5658940,El asalto,PG-13,14/04/2000,89,6.3,Paul Newman,4730,E. Max Frye,2000
5000000,Saban Entertainment,USA,Mamoru Hosoda,Animation,9628751,Digimon: The Movie,PG,06/10/2000,100,6,Lara Jill Miller,5625,Akiyoshi Hongo,2000
0,Fox 2000 Pictures,USA,Adam Collis,Comedy,3926,Sunset Strip,R,18/08/2000,90,5.7,Simon Baker,1314,Randall Jahnson,2000
